Country Name,Country Code,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Middle East & North Africa,MEA,Individuals using the Internet (% of population),1.727612341,2.107620587,3.777055162,5.134509473,8.409274834,9.775814041,11.79059875,15.07487563,18.78188521,21.65317005,24.85815067,27.77004199,31.21320981,35.15209147,40.07956257,44.3547505,48.40876465,54.88353483,60.22583848,67.3339173,72.78925747,77.37353454
Middle East & North Africa,MEA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.90102046,11.9546613,12.10152859,11.82457286,10.71338369,10.83655775,10.14830426,9.619598428,9.275078871,9.421984332,9.5850389,10.105065,10.43925608,10.17834056,10.27389864,10.53875626,10.61071419,10.82972725,10.43412089,9.781532568,10.58200849,10.25684574
Sub-Saharan Africa,SSF,"Primary education, pupils",90559608,94898936,99827144,105490464,110750152,116557840,121854248,127248032,132411432,136486656,139963104,145760272,150986448,155618576,158769376,161721296,166065744,171675456,177502800,183475152,188953456,191263888
Sub-Saharan Africa,SSF,"GDP per capita, PPP (constant 2017 international $)",2806.998707,2850.881846,2944.240984,2986.595451,3099.203663,3200.699993,3307.186919,3417.969035,3499.800597,3502.227989,3607.447902,3664.437633,3693.058825,3773.191022,3852.057202,3862.822782,3823.045171,3824.379706,3831.026346,3833.966979,3665.73537,3726.195157
Sub-Saharan Africa,SSF,Individuals using the Internet (% of population),0.516909538,0.65654494,0.839168617,1.114832948,1.495270272,2.015888472,2.659157032,3.369998386,3.669101868,4.3129981,6.137967844,7.596635252,9.28488742,11.1593891,13.36898543,16.01170993,18.63630831,21.2702329,24.8252702,27.76492234,31.82428951,35.86173873
Sub-Saharan Africa,SSF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.437491306,6.333536173,6.226550464,6.164504035,6.015811403,5.914135684,5.823073121,5.779927574,5.781376353,5.872518043,6.11789646,6.03453198,5.920532685,5.748380306,5.784343056,5.949869433,6.044499679,6.152680474,6.139888557,6.264349664,6.738892981,6.933668636
South Asia,SAS,"Primary education, pupils",148692560,149188496,153171200,165574256,170775344,175275952,178654448,183044224,184673552,184876320,186210608,185194208,187872896,189295808,187321632,188313904,197172064,194537232,175125008,173686352,175385584,175758416
South Asia,SAS,"GDP per capita, PPP (constant 2017 international $)",2650.526237,2716.301711,2760.747047,2904.886077,3069.705571,3249.15958,3441.65381,3633.690028,3699.680957,3901.551078,4129.969983,4276.893644,4445.005912,4650.316968,4906.256108,5199.615177,5537.209097,5827.26026,6124.37004,6294.593941,5937.81153,6361.804407
South Asia,SAS,Individuals using the Internet (% of population),0.475420662,0.670682911,1.476901815,1.874251173,2.224307598,2.586916771,3.020636497,4.007624014,4.432263319,5.142473141,7.169207591,9.220739374,10.0980445,11.30304582,12.83055071,14.1987495,16.20371292,18.01222168,20.22645891,27.99036119,38.97612269,42.58726467
South Asia,SAS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.809181229,6.961067928,7.134793668,7.277298523,7.392333314,7.4979084,7.356724817,7.313269105,7.290597935,7.285487148,7.056505099,7.019119928,7.266272065,7.167146668,6.988910051,7.107640343,6.922155892,6.957783191,6.990164112,6.200331849,7.50344402,6.393256724
Latin America & Caribbean,LCN,"Primary education, pupils",70215920,69939880,70032264,69457728,69551296,69080224,67674176,68568680,68094680,67942968,66983312,66085988,65032208,65224724,64388484,63582752,63042700,62570908,62463576,62250532,61759268,61357104
Latin America & Caribbean,LCN,"GDP per capita, PPP (constant 2017 international $)",12681.1789,12550.11471,12441.59894,12581.0696,13085.08907,13423.28114,13944.71075,14491.38899,14847.10202,14334.20951,15093.97034,15598.5642,15843.23471,16110.10301,16183.37533,16111.0321,15929.45793,16075.07379,16197.65649,16178.05269,14976.21416,15956.92594
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),3.875608307,5.617785127,8.846590503,11.2630147,14.39861243,16.61469176,20.7562854,23.73295721,26.541865,31.07080248,34.73540935,39.37074115,43.19984676,46.26254604,48.81033231,54.40198983,57.54435779,60.26243338,63.60415228,68.75080952,73.91301584,76.15822297
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.466534757,9.068806283,9.409741329,9.269982665,8.751428561,8.232478327,7.607278657,7.222200962,6.836566915,7.810883964,7.211875402,6.707647179,6.422712956,6.37553814,6.181238465,6.681719541,7.747100597,8.038267353,7.940316059,8.008157429,10.21056178,9.199769867
